Symbol,Period,Total Returns,Annualized Returns,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Stability,Tail Ratio,Value at Risk,Win Rate,Profit Factor,Number of Trades
EURUSD=X,In-Sample,-0.012633675704177061,-0.007172622038397636,0.03747871063139568,-0.17336025770678493,-0.2406717481129747,-0.05773907990237315,-0.12422473739666974,0.009656470718036162,1.05099296398292,-0.004070934558280043,20.20408163265306,0.9575082081596153,199
EURUSD=X,Out-of-Sample,-0.0067722675451238334,-0.004608326222943937,0.047863196658230786,-0.07261919912540875,-0.10249839891894333,-0.06516435783633023,-0.07071850895114196,0.3244693108852006,0.9529352390147104,-0.005570579982887458,19.95926680244399,0.9816954861844163,196
GBPUSD=X,In-Sample,0.06074775770446639,0.03040126367590612,0.05089545689894844,0.6138407210750965,0.9170834468252487,-0.04227928546027627,0.7190581237346074,0.7524410674090324,1.0636282647551574,-0.00515307497890241,24.897959183673468,1.1536804535066427,237
GBPUSD=X,Out-of-Sample,-0.0001668899866961171,-0.0012642977129248,0.048592378750231806,-0.0017627112205752847,-0.0024186911430457234,-0.07998359757842716,-0.015806962317306432,0.34098220971230564,1.101076357962237,-0.0053400494951549304,18.94093686354379,0.999545378032248,190
USDJPY=X,In-Sample,0.05341306906553811,0.02735887116025837,0.030928407749650392,0.8881665877828118,1.4240271563077225,-0.025968392331228884,1.0535450485842104,0.3606206799143891,1.2290664169229182,-0.003157052406714933,18.571428571428573,1.2614220557397733,174
USDJPY=X,Out-of-Sample,-0.013999606208446869,-0.009749108283534036,0.0721227898112274,-0.0996236274107396,-0.12498604858310491,-0.16923226018990548,-0.05760785959245588,0.326178275920409,0.8266443917727219,-0.0075901018780436535,20.773930753564155,0.9713961899114616,179
AAPL,In-Sample,0.2606954881484129,0.12668666841674625,0.1981490872681504,0.7009399911627638,1.0354671882198863,-0.18720314589410048,0.6767336510915902,0.6472303848526245,1.0570892072338736,-0.020897651686424858,30.021141649048626,1.1667863632245865,274
AAPL,Out-of-Sample,0.042045601922683584,0.015886509882644617,0.11511024978653525,0.19460140787382635,0.2665175280828695,-0.13245102915077278,0.11994251750630454,0.0182081629106941,1.1497178256432887,-0.009146901902077542,15.433403805496829,1.0642007129107494,137
MSFT,In-Sample,0.46086803524824793,0.26109433173041596,0.16429253653884407,1.494507685487228,2.3232937235595763,-0.0876817998765878,2.977748313765302,0.7164372625578894,1.3063729359302518,-0.015511921547761775,31.07822410147992,1.3992663876842388,272
MSFT,Out-of-Sample,0.19462627260917575,0.09972719255553075,0.1319425090514195,0.7858798016979778,1.2874406035046748,-0.1317143088047242,0.757147750009328,0.5621549288301938,1.2143312702848588,-0.012280003107890614,15.433403805496829,1.276835040784647,138
GOOGL,In-Sample,0.6778045220006719,0.4082440060995054,0.19335791527164056,1.8675915788136859,3.0859908223707153,-0.08045523580095182,5.074175745497917,0.8806140707125384,1.3196405923171506,-0.01646089620149229,33.82663847780127,1.5512322904028304,274
GOOGL,Out-of-Sample,0.28085426417291337,0.15246384573328076,0.12464457879582344,1.2004581593262909,2.047790998299619,-0.08530359609309729,1.7873085393362218,0.5076857214905047,1.3848046376371486,-0.00863216340094528,12.896405919661733,1.5286032582149303,108
