Symbol,Period,Total Trades,Total Profitable Trades,Percent Profitable Trades,Average Profit Per Trade,Highest Single Trade Profit
EURUSD=X,In-Sample,686,350,51.02040816326531,0.0001930058350020873,0.02154088020324707
EURUSD=X,Out-of-Sample,370,188,50.810810810810814,2.608943629909206e-05,0.006424665451049805
GBPUSD=X,In-Sample,888,457,51.46396396396396,0.00016932162615630004,0.02458059787750244
GBPUSD=X,Out-of-Sample,489,265,54.19222903885481,0.0002443390633674731,0.016966700553894043
USDJPY=X,In-Sample,861,477,55.400696864111495,0.011755036144721799,2.25799560546875
USDJPY=X,Out-of-Sample,697,365,52.36728837876614,-0.017784939605844242,1.8220062255859375
AUDUSD=X,In-Sample,1212,595,49.09240924092409,-3.3691377923040106e-06,0.015660881996154785
AUDUSD=X,Out-of-Sample,815,413,50.67484662576687,-1.2563927773317676e-05,0.006002187728881836
USDCAD=X,In-Sample,587,300,51.10732538330494,-4.12072193074267e-05,0.013539910316467285
USDCAD=X,Out-of-Sample,275,133,48.36363636363637,-5.756291476162997e-05,0.005760073661804199
USDCHF=X,In-Sample,802,422,52.618453865336654,-4.513669489625089e-05,0.010039985179901123
USDCHF=X,Out-of-Sample,560,296,52.85714285714286,0.00010383757097380502,0.009060025215148926
NZDUSD=X,In-Sample,1232,619,50.243506493506494,0.00011909167681421553,0.017444372177124023
NZDUSD=X,Out-of-Sample,831,396,47.65342960288809,-1.1284930898250942e-05,0.010904669761657715
EURGBP=X,In-Sample,508,249,49.01574803149607,4.449463266087329e-06,0.010089993476867676
EURGBP=X,Out-of-Sample,196,102,52.04081632653062,6.775405942177286e-05,0.003580033779144287
EURJPY=X,In-Sample,849,456,53.71024734982333,0.017972930440913942,2.214996337890625
EURJPY=X,Out-of-Sample,705,386,54.751773049645394,-0.009701646304299646,2.0279998779296875
GBPJPY=X,In-Sample,937,487,51.974386339381006,0.0195346372231857,2.727996826171875
GBPJPY=X,Out-of-Sample,766,405,52.87206266318538,-0.025516918371613902,2.6580047607421875
